Gr Liv Area,Bedroom AbvGr,Neighborhood,Year Built,Year Remod/Add,Yr Sold,Total Bsmt SF,SalePrice
894,2,IDOTRR,1935,1950,2008,894,81000
992,3,Sawyer,1967,2005,2008,992,145000
816,3,Mitchel,1982,2008,2008,816,130500
864,3,NAmes,1970,1970,2009,864,124500
1829,3,CollgCr,2003,2003,2010,941,237000
1689,3,Somerst,2007,2007,2007,1689,248328
1749,3,CollgCr,1999,1999,2006,842,196000
1838,3,Timber,2005,2006,2006,1838,359900
1144,3,NAmes,1959,1959,2006,1144,143000
960,3,OldTown,1958,1958,2006,960,125000
1338,2,SawyerW,1983,1983,2009,520,156500
1123,3,IDOTRR,1939,1950,2007,732,100000
1008,3,Mitchel,1968,1968,2009,1008,139500
951,2,IDOTRR,1936,1950,2006,951,106500
1567,2,NAmes,1966,2008,2009,1562,256000
1090,3,IDOTRR,1940,2006,2008,720,120000
2009,4,Edwards,1928,1950,2006,672,235000
1611,3,CollgCr,2002,2002,2009,1569,250000
1121,2,Edwards,2003,2004,2010,1121,140000
2668,3,NridgHt,2003,2004,2008,1572,412500
1480,3,OldTown,1920,1950,2009,972,119000
1448,2,Somerst,2006,2007,2009,1372,238500
747,1,BrkSide,1926,1953,2006,600,79900
2132,1,SawyerW,1983,2009,2009,1496,316600
875,2,BrkSide,1931,1993,2009,715,105000
1350,3,NAmes,1964,1964,2008,1248,168500
2504,4,StoneBr,2005,2007,2008,1122,325000
912,3,Sawyer,1961,1996,2008,912,142000
1877,4,NWAmes,1974,1974,2007,1084,178900
2294,5,IDOTRR,1963,1963,2007,741,202500
1471,3,Somerst,1999,1999,2009,729,172500
1955,4,IDOTRR,1958,1958,2008,1151,165500
1721,3,SawyerW,1994,1994,2007,928,201000
1987,2,NoRidge,1994,1994,2008,1986,301500
1362,2,NridgHt,2005,2006,2007,1362,194700
1607,3,Somerst,1999,2000,2008,960,200000
1324,3,Gilbert,2005,2005,2010,1324,199500
1193,2,NWAmes,1972,1972,2006,1153,146500
1575,2,SawyerW,1992,1992,2007,1575,179200
2524,4,NWAmes,1981,1981,2009,2524,278000
1506,2,Somerst,2008,2008,2008,1498,264132
1072,2,BrkSide,1925,1950,2009,1072,126500
2021,3,Gilbert,2006,2006,2006,868,274725
1977,3,Somerst,2006,2006,2007,982,250000
2350,4,OldTown,1920,1960,2008,973,130000
1664,4,NWAmes,1976,1976,2006,832,162900
1882,4,SawyerW,1981,1981,2009,0,160000
816,2,Mitchel,1983,1983,2007,816,139000
2646,4,NoRidge,1993,1993,2009,1347,260000
1207,3,NAmes,1962,1985,2006,1135,147000
1041,3,NAmes,1958,1958,2009,1041,128000
2334,3,NridgHt,2009,2010,2010,1590,376162
1498,3,CollgCr,2005,2006,2009,1498,237000
1458,2,Somerst,1999,1999,2007,729,176000
984,2,OldTown,1959,1959,2008,984,110000
1786,3,CollgCr,1997,1997,2007,824,204750
1383,3,NAmes,1960,1960,2006,1383,145250
1137,2,Timber,1987,1987,2006,1112,176000
1669,4,Edwards,1924,1950,2006,1093,107000
1531,2,NridgHt,2006,2006,2009,1504,300000
1387,3,OldTown,1954,1954,2009,811,93000
1728,6,NAmes,1965,1965,2008,1728,145000
990,3,CollgCr,1994,1994,2009,990,143000
1352,3,ClearCr,1958,1958,2006,1062,130000
2452,3,NridgHt,2003,2003,2009,2452,445000
1492,3,Somerst,2002,2002,2010,1492,230000
1060,3,MeadowV,1976,1976,2007,1040,129900
1632,3,Gilbert,1998,1998,2006,935,176500
1767,2,StoneBr,1987,1987,2006,1064,239000
1143,2,BrkSide,1928,1983,2008,1008,138000
874,3,Mitchel,1971,2004,2010,864,130000
879,3,CollgCr,1975,1975,2007,864,120000
1490,3,Gilbert,2004,2005,2008,788,184000
864,3,CollgCr,1972,1972,2009,864,133500
1742,4,OldTown,1882,1986,2009,916,168000
876,3,Edwards,1959,1959,2009,876,85000
1456,3,Gilbert,2005,2006,2006,728,170440
1964,4,NWAmes,1976,1976,2008,803,205000
1152,3,NWAmes,1968,1968,2007,912,143450
1170,3,NAmes,1958,1958,2007,1170,140000
1193,3,NWAmes,1975,1975,2009,1176,158000
1179,2,StoneBr,1988,1988,2007,1166,182000
1040,2,IDOTRR,1925,1992,2008,1040,127500
1323,3,OldTown,1948,2005,2008,780,122600
1456,3,NPkVill,1976,1976,2009,855,148500
1755,4,Crawfor,1930,2003,2007,930,188000
2499,4,Veenker,1976,1976,2009,392,180500
1121,3,Sawyer,1963,1963,2009,1121,139000
892,3,Sawyer,1966,2008,2010,864,137900
2500,5,StoneBr,2005,2005,2008,1168,355000
1136,2,BrkSide,1929,1950,2008,704,123000
1150,3,NAmes,1961,1961,2006,1150,146000
827,2,NAmes,1955,2007,2010,0,107500
1523,3,NWAmes,1976,1976,2008,1193,180000
2061,3,NoRidge,1995,1996,2009,1070,260000
407,1,OldTown,1946,1950,2008,407,46500
988,2,MeadowV,1973,2006,2008,526,105000
1358,2,NridgHt,2009,2010,2010,1358,224000
1568,3,NAmes,1967,1967,2009,1568,143000
1812,4,NAmes,1962,1962,2007,864,169500
2376,4,NridgHt,2005,2006,2006,1158,325300
2690,3,NridgHt,2009,2009,2009,1365,398800
1949,3,SawyerW,1993,1994,2010,1050,236000
1590,2,CollgCr,2005,2006,2006,1570,294900
864,3,CollgCr,1972,1972,2006,864,119900
1513,4,SawyerW,1979,1979,2009,0,113722
836,2,NPkVill,1976,1976,2009,836,128500
1484,2,Timber,2006,2006,2007,1476,265900
1803,3,Mitchel,1994,1995,2010,1679,285000
887,3,Mitchel,1984,1984,2007,864,124500
2784,5,NWAmes,1978,1978,2006,1392,250000
1412,4,BrkSide,1939,1950,2009,780,132500
2299,5,Gilbert,1999,2003,2007,938,204000
984,3,Sawyer,1963,1963,2008,984,128000
1506,2,Blmngtn,2005,2005,2006,1362,213490
1857,4,NWAmes,1978,1978,2006,945,188900
1216,3,BrkSide,1920,1997,2008,565,115000
1850,3,NridgHt,2004,2005,2006,1833,326000
1780,3,Timber,2007,2007,2008,920,264966
2052,3,Mitchel,2000,2001,2009,1107,251000
1612,2,StoneBr,2006,2006,2007,1612,319900
1709,3,Edwards,2004,2004,2006,970,134000
2417,4,NoRidge,1991,1992,2006,1288,260000
1521,4,OldTown,1910,2002,2009,741,146500
1694,3,Somerst,1997,1998,2006,569,200000
1614,3,CollgCr,2005,2006,2006,1614,221500
1027,3,NAmes,1962,1962,2008,1027,125900
1282,3,CollgCr,1978,1978,2006,995,174000
1001,2,IDOTRR,1930,2007,2007,837,124900
2622,3,NoRidge,1994,1995,2010,1463,325000
1556,3,Blueste,1980,1980,2008,716,151000
1846,3,CollgCr,2006,2006,2006,1836,233555
1456,4,OldTown,1915,2005,2008,728,139500
1393,3,Edwards,1955,1955,2008,816,135500
1342,2,BrkSide,1939,1950,2008,739,105000
2538,4,NoRidge,1996,1997,2007,1325,330000
2291,4,OldTown,1910,1998,2007,1214,133900
1324,2,NridgHt,2006,2006,2009,1324,254000
954,3,CollgCr,1976,1976,2006,911,132500
1389,2,Mitchel,1974,1975,2006,1389,170000
1165,3,NAmes,1966,1966,2008,1127,174900
1792,3,CollgCr,2001,2001,2008,963,231500
1382,3,Sawyer,1963,1979,2006,1051,148000
1539,3,BrkSide,1936,1950,2009,927,141500
1626,2,NridgHt,2003,2004,2008,764,154000
1911,3,SawyerW,1993,1994,2006,777,215000
1367,2,NridgHt,2005,2005,2008,1367,192000
1146,3,Timber,2003,2003,2007,868,187500
899,2,OldTown,1910,1950,2008,481,78000
1250,3,Crawfor,1910,2003,2007,661,139000
1239,1,Veenker,1995,1995,2008,1230,217500
1475,4,MeadowV,1977,1977,2006,757,127000
1592,3,CollgCr,1994,1995,2007,1556,228000
1456,3,NPkVill,1977,1977,2009,855,137900
1150,2,NAmes,1955,1955,2007,1078,144000
1045,2,Blueste,1980,1980,2007,516,123900
1851,3,NAmes,1969,1969,2006,1851,192100
1663,3,SawyerW,2003,2004,2008,835,192500
1586,3,Somerst,1999,1999,2008,960,170000
1432,2,OldTown,1910,2002,2007,264,132000
1713,3,NridgHt,2004,2005,2009,1713,274900
1658,3,Somerst,2008,2008,2009,1614,257500
1573,3,BrkSide,1935,1995,2009,884,133000
1436,3,Edwards,1910,2000,2006,676,98000
936,2,NAmes,1954,1975,2006,936,121000
2091,3,NridgHt,2005,2006,2006,1606,338500
1671,3,NWAmes,1978,1986,2009,1427,200000
1152,3,NAmes,1953,1953,2008,1152,137500
1264,3,Crawfor,1914,1995,2008,676,147500
894,3,Sawyer,1967,2003,2008,894,130000
1959,4,Gilbert,2004,2005,2007,847,215000
747,2,OldTown,1945,1950,2010,747,80000
1096,3,Sawyer,1978,1978,2008,1008,157500
1329,3,NAmes,1958,1958,2010,1329,172000
1409,1,Mitchel,2002,2002,2007,1409,245000
1324,3,BrkSide,1936,1950,2009,672,128000
1141,3,NAmes,1967,1967,2006,1141,158000
1782,3,NridgHt,2004,2005,2009,1782,296000
1465,3,SWISU,1939,1950,2006,992,131000
1479,5,Mitchel,1969,1969,2010,864,161000
1220,2,Blmngtn,2005,2006,2009,1220,180000
1924,3,NoRidge,1998,1998,2006,1086,280000
2526,4,NoRidge,1994,1994,2006,1165,290000
980,3,Sawyer,1962,1962,2009,980,110000
1608,3,Gilbert,1997,1997,2009,945,189500
1055,2,NPkVill,1976,1976,2006,1055,137500
1875,3,NWAmes,1975,2000,2006,675,184500
952,3,IDOTRR,1896,1950,2010,756,50138
2198,4,NoRidge,2000,2000,2008,1145,250000
1507,4,NAmes,1960,1960,2008,1075,127000
1570,3,NAmes,1958,1958,2008,1395,166800
987,2,BrDale,1973,1973,2008,483,100000
1176,2,Edwards,1969,1969,2006,1176,119900
1138,3,Sawyer,1960,1960,2009,1138,148000
1550,2,Somerst,2006,2007,2009,1092,241000
1746,3,Gilbert,2006,2007,2009,1746,377500
2090,3,CollgCr,1995,1996,2007,1220,240000
1337,2,StoneBr,1993,1993,2008,1337,180000
1056,3,NAmes,1955,1955,2006,1056,125000
1214,2,Timber,2009,2010,2010,1214,179781
1795,3,Somerst,2006,2006,2009,900,270000
1588,3,Somerst,2006,2006,2007,1588,227000
1501,2,Timber,1987,1987,2007,1501,244000
864,3,Sawyer,1963,1963,2008,864,119916
1302,3,BrDale,1971,1971,2009,630,112000
1922,3,StoneBr,2005,2006,2007,1922,377426
1337,2,NAmes,1997,1998,2007,1405,177000
1512,3,SawyerW,2004,2004,2009,1512,203000
2230,5,SWISU,1912,1950,2006,795,118500
1518,1,NridgHt,2003,2004,2008,1518,274000
1566,5,OldTown,1924,1950,2006,816,139000
1564,3,Crawfor,1941,1950,2009,704,174500
1150,3,Edwards,1942,1950,2006,799,128000
1629,3,NridgHt,2003,2004,2009,3206,284000
2552,3,NridgHt,2007,2007,2007,2552,479069
1766,3,CollgCr,2008,2008,2008,1751,395039
1105,3,NAmes,1957,1957,2009,1105,135000
1134,3,Edwards,1940,1950,2007,756,126000
616,2,BrkSide,1921,1950,2006,616,89000
1610,4,Edwards,1938,1990,2010,972,124000
1224,3,ClearCr,1917,1950,2010,689,107500
1208,2,CollgCr,2005,2005,2006,1208,183600
2263,4,NoRidge,1998,1998,2006,1141,258000
1416,3,NWAmes,1968,1968,2006,708,179900
1172,3,Edwards,1954,1998,2010,1172,128000
1061,1,SawyerW,1990,1991,2009,1054,162000
1236,2,OldTown,1957,1996,2010,912,149700
1196,3,BrkSide,1940,1950,2010,572,128000
1269,3,NAmes,1960,1960,2008,1269,155000
1628,3,Gilbert,1996,1997,2009,384,189000
1089,3,Edwards,1954,1954,2009,1089,125000
1440,4,NAmes,1964,1964,2006,720,157500
894,3,CollgCr,1972,1972,2006,894,149900
1728,3,Timber,2007,2007,2008,1884,298751
1560,3,Gilbert,2005,2005,2009,684,174000
1487,3,Edwards,1945,1950,2010,735,113000
1930,4,IDOTRR,1927,1950,2009,720,149000
713,2,OldTown,1930,2001,2006,713,99800
1792,3,Gilbert,2000,2000,2008,936,186500
1258,2,Blmngtn,2006,2007,2007,1258,172500
641,2,IDOTRR,1925,1950,2006,641,85000
1839,4,NAmes,1966,1966,2010,756,155000
1374,2,OldTown,1920,1950,2009,840,105000
1537,3,NAmes,1962,2005,2008,1319,174000
2020,3,NridgHt,2009,2009,2009,2006,402861
1280,2,StoneBr,1992,1992,2008,1280,180000
1330,3,IDOTRR,1910,2004,2006,396,116500
1560,4,NAmes,1968,1968,2007,1560,126000
1108,3,IDOTRR,1930,1950,2007,637,139400
1337,3,CollgCr,2003,2003,2007,1337,185000
1136,3,NAmes,1965,1965,2008,1136,140000
1135,3,SWISU,1936,2007,2009,560,155000
1856,1,StoneBr,2010,2010,2010,1856,394432
1820,4,BrkSide,1925,1950,2008,1026,184000
1530,3,StoneBr,2005,2005,2009,1530,260000
790,2,SWISU,1930,1950,2008,768,91000
1164,3,NWAmes,1969,1969,2006,1164,140000
984,3,IDOTRR,1930,1950,2006,984,90000
1869,2,OldTown,1890,1996,2009,1088,124900
1097,3,CollgCr,1994,1995,2009,1097,145000
1216,2,Mitchel,1998,1998,2006,1216,164000
1964,3,Timber,2005,2006,2008,1964,370000
894,2,NAmes,1960,1960,2009,894,141500
1770,4,NAmes,1968,1968,2006,900,155000
1222,2,CollgCr,2010,2010,2010,1222,187000
1456,3,NPkVill,1976,1976,2006,855,144000
1304,3,MeadowV,1977,1977,2006,264,104500
1458,3,Gilbert,2006,2007,2007,608,168165
1200,4,OldTown,1923,1950,2006,1200,125000
1573,3,Somerst,2000,2000,2007,756,177000
1003,3,Mitchel,1984,1984,2006,1003,142500
1629,3,Timber,2002,2003,2007,1616,270000
990,3,CollgCr,1994,1994,2007,990,126000
1250,3,Edwards,1918,1950,2006,686,116000
1826,4,OldTown,1915,2005,2009,910,155000
1600,3,Gilbert,1997,1997,2007,916,169000
1142,3,MeadowV,1976,1976,2007,1142,134000
1344,4,OldTown,1916,1950,2008,624,98000
816,2,BrkSide,1925,1950,2006,816,109000
1045,3,NAmes,1962,1962,2006,1045,120000
1330,3,CollgCr,2006,2007,2007,1330,167840
1362,4,Edwards,1920,1950,2007,951,96000
1640,3,SawyerW,2004,2004,2008,798,173000
1055,2,NPkVill,1977,1977,2008,1055,148500
1370,2,NridgHt,2006,2006,2010,1370,205000
2473,4,NridgHt,2004,2005,2007,1143,317000
2522,1,StoneBr,2004,2005,2009,2208,375000
1626,3,Edwards,1954,1954,2007,988,154000
2113,2,NoRidge,1995,1995,2008,2109,350000
2461,3,NAmes,1952,2002,2010,1140,197600
864,3,NAmes,1958,1958,2006,864,129900
1188,1,Sawyer,1956,1956,2008,988,185000
912,2,NAmes,1958,1985,2007,912,120000
2274,5,NAmes,1960,1960,2010,1105,154300
1218,3,BrDale,1972,1972,2006,672,118000
1866,4,NAmes,1958,1958,2009,1866,135000
874,3,Mitchel,1968,2003,2006,864,126500
1792,4,NAmes,1974,1974,2008,896,133000
1982,3,SawyerW,1989,1989,2007,807,228500
1356,3,CollgCr,2007,2007,2008,628,177439
1080,3,NAmes,1958,1958,2008,1080,136000
1689,3,Timber,2006,2007,2007,1689,231713
1656,3,Somerst,2006,2006,2007,1656,249700
816,2,NAmes,1957,1957,2006,816,129900
1072,2,Edwards,2005,2005,2006,547,145000
884,2,BrkSide,1939,1950,2007,884,113000
1719,1,Veenker,1993,1993,2008,1719,324000
1477,3,SWISU,1928,1950,2009,861,145000
1902,4,Sawyer,1978,1978,2010,0,112000
1112,2,NAmes,1951,1951,2009,631,126000
967,2,OldTown,1920,1990,2007,967,99900
1254,3,NAmes,1961,1961,2007,1218,158500
2069,4,NAmes,1960,2007,2008,585,242000
1584,4,NAmes,1967,1967,2009,1584,124000
1546,3,CollgCr,2005,2006,2007,1546,217000
1699,3,OldTown,1900,1970,2009,978,95000
1740,4,NridgHt,2006,2006,2006,1721,293000
897,3,Sawyer,1968,1968,2007,876,115000
2000,3,StoneBr,2005,2005,2006,1910,470000
1326,3,Gilbert,2005,2005,2007,1326,203000
1728,4,Mitchel,1976,1976,2006,1728,150900
864,3,CollgCr,1972,2000,2007,864,127000
1086,3,NAmes,1966,1966,2006,1024,159950
1816,3,NridgHt,2006,2007,2007,1790,356000
2945,3,StoneBr,2006,2006,2006,1410,438780
778,2,IDOTRR,1940,1955,2008,740,120500
987,2,BrDale,1972,1972,2009,483,97000
1721,3,NridgHt,2005,2005,2007,1721,232698
1590,3,Somerst,2008,2008,2009,768,210000
1312,3,NAmes,1958,2001,2008,1312,186000
1615,3,CollgCr,2007,2007,2008,1615,248500
2956,5,NridgHt,2004,2004,2007,1706,342000
520,1,BrkSide,1927,1950,2008,520,68500
810,2,Sawyer,1971,1972,2006,782,130000
1365,3,BrDale,1970,1970,2009,765,125000
1647,4,SWISU,1915,1950,2010,806,128000
1595,2,Mitchel,1991,1991,2009,1582,152000
1337,2,NAmes,1998,1999,2008,1405,181000
1068,3,Sawyer,1963,2003,2006,1059,154500
1353,2,NWAmes,1979,1999,2007,1259,192350
1060,1,BrkSide,1925,1994,2007,756,136500
1223,2,Somerst,2005,2005,2006,600,149900
888,3,NAmes,1961,1961,2007,920,120000
2262,4,Timber,2003,2003,2008,1482,305000
1370,3,NAmes,1956,1956,2006,1058,148000
1566,3,OldTown,1900,2003,2010,930,150000
869,1,OldTown,1948,1950,2008,0,89900
1424,2,SWISU,1921,1950,2008,1228,168000
1795,3,CollgCr,2002,2002,2008,1777,230000
1411,3,NWAmes,1977,1977,2009,1386,82500
1072,2,Edwards,2005,2006,2009,547,145500
2332,3,NridgHt,2007,2008,2008,1682,426000
1489,3,SWISU,1940,1950,2009,778,139500
1132,2,Edwards,2005,2005,2008,1132,176000
1582,3,NridgHt,2007,2007,2008,1582,317500
1989,3,CollgCr,2002,2002,2006,1065,255000
1654,3,BrkSide,1930,1982,2009,297,137000
861,2,OldTown,1920,1950,2009,861,80000
2610,4,Somerst,2007,2007,2007,1184,303477
1268,3,SWISU,1938,1950,2009,832,160000
1056,3,NAmes,1954,2005,2007,1056,139400
1709,2,Somerst,1999,2000,2008,1698,328900
1302,3,NAmes,1964,1991,2007,1302,158000
2315,4,Crawfor,1950,1963,2006,1168,257000
890,3,Sawyer,1968,1968,2008,890,115000
768,2,Edwards,1955,1955,2007,768,125000
1501,2,Timber,1986,1986,2008,1277,241500
1641,3,Timber,2008,2008,2009,1641,316500
808,2,BrkSide,1958,2000,2007,808,112000
1664,3,BrkSide,1947,1950,2006,1004,159000
816,2,IDOTRR,1963,1963,2010,816,110000
1344,3,IDOTRR,1920,1997,2009,672,147000
1218,3,BrDale,1973,1973,2007,672,113000
2046,3,StoneBr,2008,2008,2009,2046,372500
1768,3,CollgCr,2003,2003,2008,884,224900
1521,3,NAmes,1950,1950,2006,910,147500
1726,3,Somerst,2007,2007,2007,1726,311872
1578,3,Somerst,2006,2006,2008,1578,240000
1224,2,SawyerW,1979,1979,2009,1086,153337
1369,3,Edwards,1925,1950,2009,672,103600
889,3,Mitchel,1984,1984,2008,864,137500
1145,2,Blmngtn,2005,2006,2009,1145,160200
1363,3,OldTown,1910,1950,2010,622,125500
1008,2,NAmes,1953,2006,2007,1008,134500
720,1,OldTown,1900,1998,2006,448,86900
2468,4,NridgHt,2004,2004,2007,1136,354000
1122,2,OldTown,1948,2005,2008,924,147000
1009,3,CollgCr,1977,1977,2007,995,160000
2127,4,SawyerW,1991,1991,2007,1104,238000
2250,3,NridgHt,2002,2002,2010,1671,320000
1138,3,NAmes,1958,1958,2007,588,145000
1731,3,SawyerW,1992,1993,2006,836,248500
1242,3,NAmes,1960,1960,2007,1242,152000
1830,3,Somerst,2006,2006,2007,1302,221300
1724,3,CollgCr,1998,1999,2008,880,188000
1456,3,Gilbert,2007,2007,2007,728,177594
1534,3,Somerst,2006,2006,2007,1524,215000
1689,3,Edwards,1956,1956,2009,1436,127500
1828,3,NridgHt,2006,2007,2007,1298,250000
990,3,CollgCr,1994,1994,2007,990,146000
2698,4,StoneBr,2006,2006,2006,1850,535000
1269,3,Edwards,1962,2001,2008,621,134500
1218,4,BrDale,1973,1973,2007,672,113700
1382,3,NAmes,1955,1955,2009,1382,153000
1360,2,IDOTRR,1938,1995,2006,803,125500
1734,2,StoneBr,1995,1996,2009,1587,239500
1204,2,Mitchel,1998,1998,2009,1204,162000
1724,3,Edwards,2003,2004,2006,796,196500
1358,2,NridgHt,2007,2008,2009,1350,212500
1456,3,CollgCr,2005,2006,2006,728,163990
1191,2,Blueste,1989,1989,2010,1191,162500
1248,3,NAmes,1960,1960,2006,1248,151500
2372,4,OldTown,1892,1965,2009,994,107500
725,1,OldTown,1890,1998,2009,630,78500
1296,2,Sawyer,1967,1967,2006,0,90000
1978,3,CollgCr,2003,2003,2010,1978,318000
1571,3,Timber,2007,2007,2007,1571,239000
1768,3,Somerst,2005,2005,2008,866,226700
1112,2,Crawfor,1954,1954,2009,1112,144800
1513,4,BrkSide,1920,2004,2007,939,137500
2157,4,NAmes,1966,1966,2006,924,226000
1728,3,NAmes,1949,1973,2006,704,137000
1278,4,NAmes,1954,1954,2008,854,127500
1218,2,Somerst,2009,2010,2010,1218,204500
